ticker,etf,holdings_date,name_x,sector,asset_class,market_value,weight,notional_value,shares,cusip,isin,sedol,price,location,exchange,currency,fx_rate,maturity,name_y,employer_url
AABA,IWV,2006-09-29,ALTABA INC,-,Equity,5614182.39,0.00241958,5614182.0,222080.0,984332106,US9843321061,2986539,25.28,United States,NASDAQ,USD,1.0,-,,
ALD,IWV,2006-09-29,HONEYWELL INTERNATIONAL INC,-,Equity,5338145.3,0.0023006199999999,5338145.0,130517.0,438516106,US4385161066,4020822,40.9,United States,Boerse Berlin,USD,1.0,-,,
TXU,IWV,2006-09-29,TXU CORPORATION,-,Equity,4501752.6,0.0019401499999999,4501753.0,72005.0,873168108,US8731681081,2885700,62.52,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BNI,IWV,2006-09-29,BURLINGTON NORTHERN,-,Equity,4222139.04,0.00181964,4222139.0,57491.0,12189T104,US12189T1043,2154927,73.44,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MON,IWV,2006-09-29,MONSANTO,-,Equity,4010611.14,0.00172848,4010611.0,85314.0,61166W101,US61166W1018,2654320,47.01,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CMX,IWV,2006-09-29,CAREMARK RX INC.,-,Equity,3952845.85,0.00170358,3952846.0,69752.0,141705103,US1417051034,2570545,56.67,United States,New York Stock Exchange Inc.,USD,1.0,-,,
TFC,IWV,2006-09-29,TRUIST FINANCIAL CORP,-,Equity,3771953.45,0.00162562,3771953.0,86157.0,054937107,US0549371070,2830904,43.78,United States,New York Stock Exchange Inc.,USD,1.0,-,,
VIAB,IWV,2006-09-29,VIACOM INC CLASS B,-,Equity,3718855.14,0.00160274,3718855.0,100023.0,92553P201,US92553P2011,B0SRLF4,37.18,United States,NASDAQ,USD,1.0,-,,
AT.,IWV,2006-09-29,ALLTEL CORP.,-,Equity,3403260.0,0.00146673,3403260.0,61320.0,020039103,US0200391037,2589198,55.5,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CB,IWV,2006-09-29,CHUBB CORP,-,Equity,3397976.16,0.00146445,3397976.0,65396.0,171232101,US1712321017,2195722,51.96,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CFC,IWV,2006-09-29,COUNTRYWIDE FINANCIAL CORP.,-,Equity,3356867.04,0.00144673,3356867.0,95801.0,222372104,US2223721042,2229676,35.04,United States,New York Stock Exchange Inc.,USD,1.0,-,,
NCC,IWV,2006-09-29,NATIONAL CITY CORP.,-,Equity,3294402.61,0.0014198099999999,3294403.0,90011.0,635405103,US6354051038,2625047,36.6,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GDW,IWV,2006-09-29,GOLDEN WEST FINANCIAL CORPORATION,-,Equity,3224028.75,0.0013894799999999,3224029.0,41735.0,381317106,US3813171069,2375643,77.25,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HCA.2,IWV,2006-09-29,HCA INC.,-,Equity,3046183.62,0.00131283,3046184.0,61058.0,404119109,US4041191093,2212193,49.89,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MHS,IWV,2006-09-29,MEDCO HEALTH SOLUTIONS INC,-,Equity,2859192.22,0.00123224,2859192.0,47566.0,58405U102,US58405U1025,2954019,60.11,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GENZ,IWV,2006-09-29,GENZYME CORP.,-,Equity,2769845.93,0.00119374,2769846.0,41053.0,372917104,US3729171047,2367598,67.47,United States,NASDAQ,USD,1.0,-,,
JAVA,IWV,2006-09-29,SUN MICROSYSTEMS,-,Equity,2743072.22,0.0011822,2743072.0,551926.0,866810203,US8668102036,2859954,4.97,United States,NASDAQ,USD,1.0,-,,
PD,IWV,2006-09-29,PHELPS DODGE CORPORATION,-,Equity,2722173.3,0.00117319,2722173.0,32139.0,717265102,US7172651025,2685007,84.7,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BSC.1,IWV,2006-09-29,BEAR STEARNS COMPANIES,-,Equity,2664561.9,0.00114836,2664562.0,19019.0,073902108,US0739021089,2086138,140.1,United States,New York Stock Exchange Inc.,USD,1.0,-,,
FRX,IWV,2006-09-29,FOREST LABORATORIES INC,-,Equity,2603226.57,0.00112193,2603227.0,51437.0,345838106,US3458381064,2346508,50.61,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MEL,IWV,2006-09-29,MELLON FINANCIAL CORP.,-,Equity,2551587.8,0.0010996699999999,2551588.0,65258.0,58551A108,US58551A1088,2576350,39.1,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CPPRQ,IWV,2006-09-29,OLD COPPER INC,-,Equity,2531113.9,0.00109085,2531114.0,37010.0,708160106,US7081601061,2680303,68.39,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
DTV,IWV,2006-09-29,DIRECTV GROUP INC.,-,Equity,2495561.76,0.0010755299999999,2495562.0,126807.0,25459L106,US25459L1061,2226064,19.68,United States,NASDAQ,USD,1.0,-,,
MTLQQ,IWV,2006-09-29,MOTORS LIQUIDATION CO,-,Equity,2478701.5,0.00106826,2478702.0,74525.0,62010A105,US62010A1051,2365804,33.26,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
FSL.B,IWV,2006-09-29,FREESCALE SEMICONDUCTOR INC. CL B,-,Equity,2430701.47,0.00104758,2430701.0,63949.0,35687M206,US35687M2061,B040Q85,38.01,United States,New York Stock Exchange Inc.,USD,1.0,-,,
XTO,IWV,2006-09-29,XTO ENERGY INC,-,Equity,2418767.56,0.00104243,2418768.0,57412.0,98385X106,US98385X1063,2236911,42.13,United States,New York Stock Exchange Inc.,USD,1.0,-,,
EOP,IWV,2006-09-29,EQUITY OFFICE PROPERTIES TRUST,-,Equity,2297809.92,0.0009903,2297810.0,57792.0,294741103,US2947411037,2038430,39.76,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CCU.1,IWV,2006-09-29,CLEAR CHANNEL COMMUNICATIONS INC.,-,Equity,2290574.6,0.00098718,2290575.0,79396.0,184502102,US1845021021,2202536,28.85,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HNZ,IWV,2006-09-29,H.J. HEINZ CO.,-,Equity,2216922.96,0.00095544,2216923.0,52872.0,423074103,US4230741039,2419240,41.93,United States,New York Stock Exchange Inc.,USD,1.0,-,,
IGT,IWV,2006-09-29,INTERNATIONAL GAME TECHNOLOGY,-,Equity,2216639.5,0.00095532,2216640.0,53413.0,459902102,US4599021023,2464972,41.5,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SCN,IWV,2006-09-29,PROLOGIS,-,Equity,2206738.44,0.0009510499999999,2206738.0,38674.0,743410102,US7434101025,2790611,57.06,United States,New York Stock Exchange Inc.,USD,1.0,-,,
JCI,IWV,2006-09-29,JOHNSON CONTROLS INC,-,Equity,2206650.66,0.00095101,2206651.0,30759.0,478366107,US4783661071,2476803,71.74,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BRCM,IWV,2006-09-29,BROADCOM CORP CLASS A,-,Equity,2176045.48,0.00093782,2176045.0,71722.0,111320107,US1113201073,2235822,30.34,United States,NASDAQ,USD,1.0,-,,
QWST,IWV,2006-09-29,QWEST COMMUNICATIONS INTERNATIONAL,-,Equity,2175613.84,0.00093764,2175614.0,249497.0,749121109,US7491211097,2034494,8.72,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SWY,IWV,2006-09-29,SAFEWAY INC,-,Equity,2152179.2,0.00092754,2152179.0,70912.0,786514208,US7865142084,2767165,30.35,United States,New York Stock Exchange Inc.,USD,1.0,-,,
TGNA,IWV,2006-09-29,GANNETT CO INC,-,Equity,2133682.35,0.00091957,2133682.0,37545.0,364730101,US3647301015,2360304,56.83,United States,New York Stock Exchange Inc.,USD,1.0,-,,
NFB,IWV,2006-09-29,NORTH FORK BANCORPORATION INC.,-,Equity,2109994.72,0.00090936,2109995.0,73673.0,659424105,US6594241050,2644837,28.64,United States,New York Stock Exchange Inc.,USD,1.0,-,,
EDS.,IWV,2006-09-29,ELECTRONIC DATA SYSTEMS CORP.,-,Equity,2007354.32,0.00086512,2007354.0,81866.0,285661104,US2856611049,2312736,24.52,United States,New York Stock Exchange Inc.,USD,1.0,-,,
STJ,IWV,2006-09-29,ST JUDE MEDICAL,-,Equity,2006554.11,0.00086478,2006554.0,56859.0,790849103,US7908491035,2767381,35.29,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HOT,IWV,2006-09-29,STARWOOD HOTELS & RESORTS WORLDWID,-,Equity,1957270.56,0.0008435399999999,1957271.0,34224.0,85590A401,US85590A4013,B12GHV2,57.19,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HET,IWV,2006-09-29,HARRAHS ENTERTAINMENT CORP.,-,Equity,1933179.46,0.00083315,1933179.0,29101.0,413619107,US4136191073,2705648,66.43,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SLE,IWV,2006-09-29,SARA LEE CORP.,-,Equity,1928930.31,0.00083132,1928930.0,120033.0,803111103,US8031111037,2217109,16.07,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MI,IWV,2006-09-29,MARSHALL & ILSLEY CORP. (OLD),-,Equity,1921514.79,0.00082813,1921515.0,39882.0,571834100,-,-,48.18,United States,New York Stock Exchange Inc.,USD,1.0,-,,
LCAPA,IWV,2006-09-29,LIBERTY MEDIA CORP,-,Equity,1849237.0,0.00079698,1849237.0,22128.0,53071M302,US53071M3025,B144736,83.57,United States,NASDAQ,USD,1.0,-,,
NYX,IWV,2006-09-29,NYSE EURONEXT,-,Equity,1837728.75,0.0007920199999999,1837729.0,24585.0,62949W103,US62949W1036,-,74.75,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ASN,IWV,2006-09-29,ARCHSTONE-SMITH TRUST,-,Equity,1833484.76,0.00079019,1833485.0,33679.0,039583109,US0395831094,2814641,54.44,United States,New York Stock Exchange Inc.,USD,1.0,-,,
PGN,IWV,2006-09-29,PROGRESS ENERGY INC.,-,Equity,1808710.66,0.00077951,1808711.0,39857.0,743263105,US7432631056,2604206,45.38,United States,New York Stock Exchange Inc.,USD,1.0,-,,
KMI.1,IWV,2006-09-29,KINDER MORGAN INC.,-,Equity,1759907.25,0.00075848,1759907.0,16785.0,49455P101,US49455P1012,2484088,104.85,United States,New York Stock Exchange Inc.,USD,1.0,-,,
FO,IWV,2006-09-29,FORTUNE BRANDS INC,-,Equity,1735491.66,0.00074796,1735492.0,23106.0,349631101,US3496311016,2024774,75.11,United States,New York Stock Exchange Inc.,USD,1.0,-,,
WWY,IWV,2006-09-29,WM WRIGLEY JR. CO.,-,Equity,1703621.28,0.00073422,1703621.0,36987.0,982526105,US9825261053,2983604,46.06,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HLT,IWV,2006-09-29,HILTON HOTELS CORP.,-,Equity,1688267.0,0.0007276,1688267.0,60620.0,432848109,US4328481092,2428008,27.85,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CEG,IWV,2006-09-29,CONSTELLATION ENERGY GROUP INC.,-,Equity,1669972.8,0.00071972,1669973.0,28209.0,210371100,US2103711006,2073408,59.2,United States,New York Stock Exchange Inc.,USD,1.0,-,,
LU,IWV,2006-09-29,LUCENT TECHNOLOGIES INC.,-,Equity,1651674.96,0.00071183,1651675.0,705844.0,549463107,US5494631071,2537573,2.34,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ASO.1,IWV,2006-09-29,AMSOUTH BANCORPORATION,-,Equity,1584335.28,0.00068281,1584335.0,54557.0,032165102,US0321651020,2012070,29.04,United States,New York Stock Exchange Inc.,USD,1.0,-,,
FSH,IWV,2006-09-29,FISHER SCIENTIFIC INTERNATIONAL IN,-,Equity,1531313.29,0.00065996,1531313.0,19572.0,338032204,US3380322046,2345301,78.24,United States,New York Stock Exchange Inc.,USD,1.0,-,,
EP,IWV,2006-09-29,EL PASO CORP.,-,Equity,1496417.11,0.0006449199999999,1496417.0,109708.0,28336L109,US28336L1098,2295945,13.64,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BJS,IWV,2006-09-29,BJ SERVICES CO,-,Equity,1422105.87,0.00061289,1422106.0,47199.0,055482103,US0554821035,2069065,30.13,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MUR,IWV,2006-09-29,MURPHY OIL CORP,-,Equity,1398445.5,0.0006027,1398446.0,29410.0,626717102,US6267171022,2611206,47.55,United States,New York Stock Exchange Inc.,USD,1.0,-,,
UST.1,IWV,2006-09-29,UST INC.,-,Equity,1395971.8,0.00060163,1395972.0,25460.0,902911106,US9029111062,2922544,54.83,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SOV,IWV,2006-09-29,SOVEREIGN BANCORP INC.,-,Equity,1333211.35,0.00057458,1333211.0,61981.0,845905108,US8459051087,2822600,21.51,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SII,IWV,2006-09-29,SMITH INTERNATIONAL,-,Equity,1308568.8,0.00056396,1308569.0,33726.0,832110100,US8321101003,2816409,38.8,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CVH,IWV,2006-09-29,COVENTRY HEALTH CARE INC,-,Equity,1303816.61,0.00056191,1303817.0,25307.0,222862104,US2228621049,2232696,51.52,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MIR,IWV,2006-09-29,MIRANT CORP,-,Equity,1292391.13,0.0005569899999999,1292391.0,47323.0,60467R100,US60467R1005,B0V28J9,27.31,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GGP,IWV,2006-09-29,GENERAL GROWTH PROPERTIES INC.,-,Equity,1292363.3,0.00055698,1292363.0,27122.0,370021107,US3700211077,2363422,47.65,United States,New York Stock Exchange Inc.,USD,1.0,-,,
NSM.2,IWV,2006-09-29,NATIONAL SEMICONDUCTOR CORP,-,Equity,1253301.92,0.00054014,1253302.0,53264.0,637640103,US6376401039,2626921,23.53,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BMET,IWV,2006-09-29,BIOMET INC.,-,Equity,1249648.0,0.00053857,1249648.0,38821.0,090613100,US0906131000,2098597,32.19,United States,NASDAQ,USD,1.0,-,,
WEN.2,IWV,2006-09-29,WENDYS INTERNATIONAL INC.,-,Equity,1233068.0,0.00053142,1233068.0,18404.0,950590109,US9505901093,2947956,67.0,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HCBK,IWV,2006-09-29,HUDSON CITY BANCORP INC,-,Equity,1211951.01,0.00052232,1211951.0,91468.0,443683107,US4436831071,2437952,13.25,United States,NASDAQ,USD,1.0,-,,
ROH,IWV,2006-09-29,ROHM & HAAS CO.,-,Equity,1201032.75,0.00051762,1201033.0,25365.0,775371107,US7753711073,2746829,47.35,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ASD,IWV,2006-09-29,AMERICAN STANDARD COS INC,-,Equity,1180406.25,0.00050873,1180406.0,28125.0,029712106,US0297121065,-,41.97,United States,New York Stock Exchange Inc.,USD,1.0,-,,
VMED,IWV,2006-09-29,VIRGIN MEDIA INC,-,Equity,1169271.43,0.00050393,1169271.0,45980.0,92769L101,US92769L1017,B10QL56,25.43,United States,NASDAQ,USD,1.0,-,,
UVN,IWV,2006-09-29,UNIVISION COMMUNICATIONS INC.,-,Equity,1166941.89,0.00050292,1166942.0,33982.0,914906102,US9149061023,2941925,34.34,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CBSS,IWV,2006-09-29,COMPASS BANCSHARES,-,Equity,1161309.38,0.0005005,1161309.0,20381.0,20449H109,US20449H1095,2183330,56.98,United States,NASDAQ,USD,1.0,-,,
FNF.1,IWV,2006-09-29,FIDELITY NATIONAL FINANCIAL INC.,-,Equity,1149623.32,0.00049546,1149623.0,27602.0,316326107,US3163261072,2341729,41.65,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MEDI,IWV,2006-09-29,MEDIMMUNE INC.,-,Equity,1147251.96,0.00049444,1147252.0,39276.0,584699102,US5846991025,2575896,29.21,United States,NASDAQ,USD,1.0,-,,
EQ,IWV,2006-09-29,EMBARQ CORP.,-,Equity,1137759.2,0.00049035,1137759.0,23522.0,29078E105,US29078E1055,B142VX8,48.37,United States,New York Stock Exchange Inc.,USD,1.0,-,,
KSE,IWV,2006-09-29,KEYSPAN CORPORATION,-,Equity,1135957.68,0.00048957,1135958.0,27612.0,49337W100,US49337W1009,2249629,41.14,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SAF,IWV,2006-09-29,SAFECO CORP,-,Equity,1109062.6,0.00047798,1109063.0,18820.0,786429100,US7864291007,2766805,58.93,United States,New York Stock Exchange Inc.,USD,1.0,-,,
STR,IWV,2006-09-29,QUESTAR CORP,-,Equity,1104222.08,0.0004758899999999,1104222.0,13504.0,748356102,US7483561020,2717483,81.77,United States,-,USD,1.0,-,,
CBH,IWV,2006-09-29,COMMERCE BANCORP NJ,-,Equity,1068114.16,0.0004603299999999,1068114.0,29096.0,200519106,US2005191067,2192295,36.71,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ALTR,IWV,2006-09-29,ALTERA CORP,-,Equity,1042623.88,0.00044935,1042624.0,56726.0,021441100,US0214411003,2021690,18.38,United States,NASDAQ,USD,1.0,-,,
AYE,IWV,2006-09-29,ALLEGHENY ENERGY,-,Equity,1036506.51,0.00044671,1036507.0,25803.0,017361106,US0173611064,2024020,40.17,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CTX,IWV,2006-09-29,CENTEX CORP.,-,Equity,1009514.7,0.0004350799999999,1009515.0,19185.0,152312104,US1523121044,2183244,52.62,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BOT,IWV,2006-09-29,CBOT HOLDINGS CL A,-,Equity,1007992.55,0.00043442,1007993.0,8345.0,14984K106,US14984K1060,B0F47Y9,120.79,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ABI,IWV,2006-09-29,APPLERA CORP-APPLIED BIOSYSTEMS,-,Equity,967639.75,0.00041703,967640.0,29225.0,038020103,-,-,33.11,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BDK,IWV,2006-09-29,THE BLACK & DECKER CORPORATION,-,Equity,952914.15,0.00041068,952914.0,12009.0,091797100,US0917971006,2101503,79.35,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HSP,IWV,2006-09-29,HOSPIRA INC,-,Equity,943853.01,0.00040678,943853.0,24663.0,441060100,US4410601003,B00PWV9,38.27,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BEAS,IWV,2006-09-29,BEA SYSTEMS,-,Equity,936791.2,0.00040374,936791.0,61631.0,073325102,US0733251021,2087476,15.2,United States,NASDAQ,USD,1.0,-,,
ACS,IWV,2006-09-29,AFFILIATED COMPUTER SERVICES INC.,-,Equity,921967.08,0.00039735,921967.0,17778.0,008190100,US0081901003,2034524,51.86,United States,New York Stock Exchange Inc.,USD,1.0,-,,
BMC,IWV,2006-09-29,BMC SOFTWARE INC.,-,Equity,916388.52,0.00039494,916389.0,33666.0,055921100,US0559211000,2068921,27.22,United States,NASDAQ,USD,1.0,-,,
MIK,IWV,2006-09-29,MICHAELS STORES INC.,-,Equity,909158.74,0.00039183,909159.0,20881.0,594087108,US5940871081,2587493,43.54,United States,New York Stock Exchange Inc.,USD,1.0,-,,
H.4,IWV,2006-09-29,REALOGY CORPORATION,-,Equity,894680.64,0.00038559,894681.0,39448.0,75605E100,US75605E1001,B198380,22.68,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CAM,IWV,2006-09-29,CAMERON INTERNATIONAL CORP,-,Equity,881705.81,0.0003799899999999,881706.0,18251.0,13342B105,US13342B1052,2222233,48.31,United States,-,USD,1.0,-,,
BRL,IWV,2006-09-29,BARR PHARMACEUTICALS INC.,-,Equity,872124.54,0.00037587,872125.0,16791.0,068306109,US0683061099,2081779,51.94,United States,New York Stock Exchange Inc.,USD,1.0,-,,
LYO,IWV,2006-09-29,LYONDELL CHEMICAL CO.,-,Equity,870444.7,0.00037514,870445.0,34310.0,552078107,US5520781072,2540270,25.37,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MOLX,IWV,2006-09-29,MOLEX INC.,-,Equity,847168.83,0.00036511,847169.0,21739.0,608554101,US6085541018,2599142,38.97,United States,NASDAQ,USD,1.0,-,,
RX,IWV,2006-09-29,IMS HEALTH INC.,-,Equity,840785.04,0.00036236,840785.0,31561.0,449934108,US4499341083,2256511,26.64,United States,New York Stock Exchange Inc.,USD,1.0,-,,
AV.1,IWV,2006-09-29,AVAYA INC.,-,Equity,836286.88,0.0003604199999999,836287.0,73102.0,053499109,US0534991098,2624356,11.44,United States,New York Stock Exchange Inc.,USD,1.0,-,,
SEPR,IWV,2006-09-29,SEPRACOR INC.,-,Equity,832392.96,0.00035874,832393.0,17184.0,817315104,US8173151049,2796619,48.44,United States,NASDAQ,USD,1.0,-,,
OCR,IWV,2006-09-29,OMNICARE INC,-,Equity,824914.96,0.00035552,824915.0,19144.0,681904108,US6819041087,2659778,43.09,United States,New York Stock Exchange Inc.,USD,1.0,-,,
HMA,IWV,2006-09-29,HEALTH MANAGEMENT ASSOCIATES INC C,-,Equity,795579.4,0.00034288,795579.0,38066.0,421933102,US4219331026,2417987,20.9,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GR,IWV,2006-09-29,GOODRICH CORP,-,Equity,793786.8,0.0003420999999999,793787.0,19590.0,382388106,US3823881061,2377809,40.52,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GRP.,IWV,2006-09-29,GRANT PRIDECO,-,Equity,786954.79,0.00033916,786955.0,20693.0,38821G101,US38821G1013,2566135,38.03,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CVC,IWV,2006-09-29,CABLEVISION SYSTEMS CORP CLASS A,-,Equity,778317.12,0.00033544,778317.0,34272.0,12686C109,US12686C1099,2162243,22.71,United States,New York Stock Exchange Inc.,USD,1.0,-,,
TLAB,IWV,2006-09-29,TELLABS INC.,-,Equity,776417.36,0.00033462,776417.0,70841.0,879664100,US8796641004,2881537,10.96,United States,NASDAQ,USD,1.0,-,,
PBG,IWV,2006-09-29,PEPSI BOTTLING,-,Equity,772906.0,0.0003331,772906.0,21772.0,713409100,US7134091005,2404569,35.5,United States,New York Stock Exchange Inc.,USD,1.0,-,,
AAMRQ,IWV,2006-09-29,AMR CORP.,-,Equity,771024.8,0.00033229,771025.0,33320.0,001765106,US0017651060,2001692,23.14,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
MWV,IWV,2006-09-29,MEADWESTVACO CORP,-,Equity,759511.5,0.0003273299999999,759512.0,28650.0,583334107,US5833341077,2840044,26.51,United States,New York Stock Exchange Inc.,USD,1.0,-,,
STAR,IWV,2006-09-29,ISTAR REIT INC,-,Equity,747972.9,0.00032236,747973.0,17937.0,45031U101,US45031U1016,2259190,41.7,United States,New York Stock Exchange Inc.,USD,1.0,-,,
DNB,IWV,2006-09-29,DUN & BRADSTREET CORP,-,Equity,743900.8,0.0003206,743901.0,9920.0,26483E100,US26483E1001,2636254,74.99,United States,New York Stock Exchange Inc.,USD,1.0,-,,
AMLN,IWV,2006-09-29,AMYLIN PHARMACEUTICALS INC.,-,Equity,743681.25,0.00032051,743681.0,16875.0,032346108,US0323461089,2033402,44.07,United States,NASDAQ,USD,1.0,-,,
JOY,IWV,2006-09-29,JOY GLOBAL INC,-,Equity,735463.57,0.00031697,735464.0,19555.0,481165108,US4811651086,2781905,37.61,United States,New York Stock Exchange Inc.,USD,1.0,-,,
FDO,IWV,2006-09-29,FAMILY DOLLAR STORES INC,-,Equity,719450.2,0.00031007,719450.0,24605.0,307000109,US3070001090,2331225,29.24,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MRBK,IWV,2006-09-29,MERCANTILE BANKSHARES CORPORATION,-,Equity,707228.79,0.0003048,707229.0,19499.0,587405101,US5874051015,2578389,36.27,United States,NASDAQ,USD,1.0,-,,
CCTYQ,IWV,2006-09-29,CIRCUIT CITY STORES INC,-,Equity,706595.4,0.00030453,706595.0,28140.0,172737108,US1727371080,2199326,25.11,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
PDE,IWV,2006-09-29,PRIDE INTERNATIONAL,-,Equity,702171.36,0.00030262,702171.0,25608.0,74153Q102,US74153Q1022,2802992,27.42,United States,New York Stock Exchange Inc.,USD,1.0,-,,
TIN,IWV,2006-09-29,TEMPLE-INLAND INC,-,Equity,700948.0,0.00030209,700948.0,17480.0,879868107,US8798681073,2883395,40.1,United States,New York Stock Exchange Inc.,USD,1.0,-,,
CMVT,IWV,2006-09-29,COMVERSE TECHNOLOGY INC.,-,Equity,686122.88,0.0002957,686123.0,32002.0,205862402,US2058624022,2193362,21.44,United States,NASDAQ,USD,1.0,-,,
PEAK,IWV,2006-09-29,HEALTHPEAK PROPERTIES INC,-,Equity,673381.35,0.00029021,673381.0,21687.0,40414L109,US40414L1098,2417578,31.05,United States,New York Stock Exchange Inc.,USD,1.0,-,,
ALD.1,IWV,2006-09-29,ALLIED CAPITAL CORP,-,Equity,670239.06,0.00028886,670239.0,22186.0,01903Q108,US01903Q1085,2014797,30.21,United States,New York Stock Exchange Inc.,USD,1.0,-,,
